Zone,Weight,FedEx_First_Overnight,FedEx_Priority_Overnight,FedEx_Standard_Overnight,FedEx_2Day_AM,FedEx_2Day,FedEx_Express_Saver
2,1,73.31,42.31,38.55,28.72,25.23,22.95
2,2,73.87,42.87,41.12,29.22,26.26,23.38
2,3,77.77,46.77,44.68,29.71,26.68,24.83
2,4,82.02,51.02,48.20,30.59,27.50,25.27
2,5,82.45,51.45,49.06,31.48,28.33,25.70
2,6,89.98,58.98,51.78,32.86,29.55,27.78
2,7,90.74,59.74,53.45,34.25,30.79,28.23
2,8,91.00,60.00,56.26,35.64,32.03,29.29
2,9,91.27,60.27,58.19,37.52,33.67,29.54
2,10,91.81,60.81,58.48,39.31,33.96,29.83
2,11,102.44,71.44,62.70,41.06,36.92,35.38
2,12,104.12,73.12,64.78,44.58,38.88,36.26
2,13,104.39,73.39,65.50,46.29,41.62,39.53
2,14,105.89,74.89,68.05,48.59,43.71,39.96
2,15,106.16,75.16,70.66,51.98,45.36,40.22
2,16,111.04,80.04,72.16,54.45,46.43,42.64
2,17,115.64,84.64,73.71,54.84,47.85,42.90
2,18,116.32,85.32,78.09,58.51,49.45,46.80
2,19,116.87,85.87,80.18,58.88,51.42,48.00
2,20,117.31,86.31,81.68,59.18,53.19,48.26
2,21,121.08,90.08,83.87,65.01,55.67,49.65
2,22,125.22,94.22,86.82,65.77,57.38,53.23
2,23,125.74,94.74,88.29,68.98,58.79,55.27
2,24,128.25,97.25,90.50,71.64,60.14,55.52
2,25,128.75,97.75,91.73,71.91,62.08,55.79
2,26,134.75,103.75,91.99,74.10,63.95,60.99
2,27,135.36,104.36,96.16,75.32,65.99,62.97
2,28,137.54,106.54,96.59,77.16,68.11,64.87
2,29,138.08,107.08,98.45,81.09,69.88,65.13
2,30,138.57,107.57,102.94,83.53,70.15,65.38
2,31,142.67,111.67,104.85,84.11,70.43,67.49
2,32,145.85,114.85,107.03,84.38,70.74,67.77
2,33,148.60,117.60,109.39,87.75,76.58,71.61
2,34,151.12,120.12,111.29,90.50,78.98,73.02
2,35,153.69,122.69,114.46,92.33,80.57,74.44
2,36,158.77,127.77,115.17,95.41,81.83,76.56
2,37,159.30,128.30,115.45,95.73,83.35,76.97
2,38,159.60,128.60,117.48,99.35,84.75,77.57
2,39,160.11,129.11,120.47,102.08,87.44,77.82
2,40,160.43,129.43,125.92,102.82,87.71,78.28
2,41,166.14,135.14,128.08,107.35,91.97,87.30
2,42,168.12,137.12,130.46,111.65,93.47,88.91
2,43,171.80,140.80,132.63,112.10,95.43,90.64
2,44,174.98,143.98,134.92,113.29,97.04,91.31
2,45,181.82,150.82,137.11,113.60,97.47,91.57
2,46,185.95,154.95,139.19,113.90,100.48,91.82
2,47,188.18,157.18,142.17,118.90,100.80,92.08
2,48,188.46,157.46,144.25,121.27,102.90,92.34
2,49,188.72,157.72,146.44,121.54,103.17,92.59
2,50,189.62,158.62,149.32,122.81,103.46,93.02
2,51,207.51,176.51,151.44,129.81,104.42,100.44
2,52,210.19,179.19,154.48,138.69,111.79,102.74
2,53,212.15,181.15,157.30,139.58,114.03,106.70
2,54,212.70,181.70,159.35,140.19,115.64,107.29
2,55,213.37,182.37,162.46,140.79,117.77,107.81
2,56,226.59,195.59,165.42,141.45,118.71,108.33
2,57,228.27,197.27,169.00,145.08,119.26,108.84
2,58,228.84,197.84,170.22,145.71,119.82,109.37
2,59,229.39,198.39,170.76,149.07,120.37,109.89
2,60,229.96,198.96,171.73,150.03,120.93,111.87
2,61,240.34,209.34,172.26,150.56,121.48,114.75
2,62,242.73,211.73,172.82,151.11,122.03,116.61
2,63,243.35,212.35,183.86,155.10,122.58,117.91
2,64,253.98,222.98,190.25,160.43,130.27,120.77
2,65,255.06,224.06,196.03,160.98,135.17,121.29
2,66,255.64,224.64,199.61,161.51,135.72,121.82
2,67,257.78,226.78,202.50,162.07,136.28,122.33
2,68,262.91,231.91,203.55,162.67,136.83,122.84
2,69,263.45,232.45,204.07,163.29,137.39,123.37
2,70,264.02,233.02,214.12,163.82,137.94,126.40
2,71,270.67,239.67,218.21,167.54,146.32,126.98
2,72,272.20,241.20,218.75,173.00,147.16,129.97
2,73,272.76,241.76,219.70,173.55,147.66,130.48
2,74,273.34,242.34,220.56,174.25,148.17,130.99
2,75,274.48,243.48,233.09,175.31,149.18,132.15
2,76,276.23,245.23,234.36,187.85,152.03,133.79
2,77,277.03,246.03,238.19,189.11,153.13,134.83
2,78,277.83,246.83,239.39,190.29,154.24,135.86
2,79,278.63,247.63,240.45,191.49,155.36,136.91
2,80,279.64,248.64,241.60,192.55,156.47,137.95
2,81,299.76,268.76,242.65,193.63,161.89,138.98
2,82,301.78,270.78,258.80,195.05,163.46,143.93
2,83,302.93,271.93,260.42,199.74,165.66,144.97
2,84,304.04,273.04,261.48,202.25,166.78,146.01
2,85,305.18,274.18,262.54,203.33,174.47,147.03
2,86,308.80,277.80,268.25,204.38,175.60,148.07
2,87,309.60,278.60,269.57,205.46,176.70,149.11
2,88,310.40,279.40,270.66,207.00,177.81,150.14
2,89,311.20,280.20,274.20,208.08,178.91,151.18
2,90,312.00,281.00,275.00,209.38,180.04,151.98
2,91,312.80,281.80,275.80,210.56,181.14,157.94
2,92,313.60,282.60,276.60,211.74,182.25,158.97
2,93,314.40,283.40,277.40,212.94,183.36,160.29
2,94,315.20,284.20,278.20,215.44,184.48,161.45
2,95,316.00,285.00,279.00,216.50,185.57,162.83
2,96,316.80,285.80,279.80,217.58,187.80,166.48
2,97,317.60,286.60,280.60,218.65,188.60,167.52
2,98,318.40,287.40,281.40,219.72,189.40,174.36
2,99,319.20,288.20,282.20,225.06,190.20,177.13
2,100,320.00,289.00,283.00,240.00,191.00,178.00
2,101,323.20,291.89,285.83,242.40,192.91,179.78
2,102,326.40,294.78,288.66,244.80,194.82,181.56
2,103,329.60,297.67,291.49,247.20,196.73,183.34
2,104,332.80,300.56,294.32,249.60,198.64,185.12
2,105,336.00,303.45,297.15,252.00,200.55,186.90
2,106,339.20,306.34,299.98,254.40,202.46,188.68
2,107,342.40,309.23,302.81,256.80,204.37,190.46
2,108,345.60,312.12,305.64,259.20,206.28,192.24
2,109,348.80,315.01,308.47,261.60,208.19,194.02
2,110,352.00,317.90,311.30,264.00,210.10,195.80
